Ranking,2021 Ranking,Company,Country,Market cap 2022 ($m),Market cap 2021 ($m),Revenues ($m),Net income ($m),Sector
1,1,Naspers,SOUTH AFRICA,"49,619","104,209","5,934","5,304",Consumer Non-Cyclicals
2,3,Anglo American Platinum,SOUTH AFRICA,"36,429","38,666","14,507","5,340",Non-Energy Materials
3,4,FirstRand,SOUTH AFRICA,"29,739","19,610","10,025","1,785",Finance
4,13,MTN Group,SOUTH AFRICA,"24,500","11,083","12,281",930,Telecommunications
5,7,Standard Bank Group,SOUTH AFRICA,"20,915","13,760","18,342","1,737",Finance
6,5,Vodacom Group,SOUTH AFRICA,"20,102","15,698","5,985","1,013",Telecommunications
7,12,Capitec Bank Holdings,SOUTH AFRICA,"18,608","11,122","2,396",574,Finance
8,18,Sasol,SOUTH AFRICA,"15,354","9,042","13,099",586,Non-Energy Materials
9,10,Kumba Iron Ore,SOUTH AFRICA,"14,446","13,273","6,892","2,249",Non-Energy Materials
10,22,Gold Fields,SOUTH AFRICA,"13,909","8,265","4,195",789,Non-Energy Materials
11,6,Impala Platinum Holdings,SOUTH AFRICA,"13,062","14,725","8,406","3,051",Non-Energy Materials
12,9,Safaricom,KENYA,"11,898","13,282","2,430",633,Telecommunications
13,8,Maroc Telecom,MOROCCO,"11,782","13,517","3,980",668,Telecommunications
14,11,Sibanye Stillwater,SOUTH AFRICA,"11,581","13,008","11,642","2,235",Non-Energy Materials
15,20,Dangote Cement,NIGERIA,"11,203","8,947","3,375",881,Non-Energy Materials
16,24,Absa Group,SOUTH AFRICA,"11,048","7,239","9,040","1,201",Finance
17,19,Sanlam,SOUTH AFRICA,"11,003","8,978","8,694",640,Finance
18,23,MTN Nigeria,NIGERIA,"10,471","7,963","4,036",729,Telecommunications
19,15,Attijariwafa Bank,MOROCCO,"10,250","9,913","4,425",572,Finance
20,17,AngloGold Ashanti,SOUTH AFRICA,"10,032","9,094","4,029",622,Non-Energy Materials
21,26,Shoprite Holdings,SOUTH AFRICA,"9,577","6,292","10,901",305,Consumer Non-Cyclicals
22,28,Discovery,SOUTH AFRICA,"8,393","6,019","4,501",209,Finance
23,32,Nedbank Group,SOUTH AFRICA,"8,153","4,822","6,617",781,Finance
24,25,Bid Corp,SOUTH AFRICA,"7,300","6,497","7,448",200,Consumer Services
25,16,Airtel Africa,NIGERIA,"6,903","4,112","3,888",339,Telecommunications
26,45,Investec,SOUTH AFRICA,"6,716","2,974","3,703",350,Finance
27,33,Aspen Pharmacare Holdings,SOUTH AFRICA,"6,186","4,462","2,450",311,Healthcare
28,21,Northam Platinum,SOUTH AFRICA,"5,919","8,886","2,118",609,Non-Energy Materials
29,38,Pepkor,SOUTH AFRICA,"5,886","4,018","5,249",329,Consumer Cyclicals
30,42,Remgro,SOUTH AFRICA,"5,826","4,002","4,269",230,Finance
31,27,BUA Cement,NIGERIA,"5,759","6,078",628,224,Non-Energy Materials
32,29,Banque Centrale Populaire,MOROCCO,"5,622","5,652","2,953",196,Finance
33,47,Rand Merchant Investment,SOUTH AFRICA,"5,471","3,177","1,212",188,Finance
34,35,Exxaro Resources,SOUTH AFRICA,"5,296","4,223","2,216",757,Energy
35,40,Bidvest Group,SOUTH AFRICA,"5,209","3,926","5,729",249,Consumer Cyclicals
36,39,Clicks Group,SOUTH AFRICA,"5,160","4,008","2,660",127,Consumer Non-Cyclicals
37,30,Commercial International Bank,EGYPT,"5,009","5,432","3,216",845,Finance
38,31,B2gold Corp,NAMIBIA,"4,856","4,527","1,762",420,Non-Energy Materials
39,36,LafargeHolcim Maroc,MOROCCO,"4,623","4,167",911,n/a,Non-Energy Materials
40,37,Old Mutual,SOUTH AFRICA,"4,437","4,027","16,755",450,Finance
41,34,African Rainbow Minerals,SOUTH AFRICA,"4,400","4,227","1,275",819,Non-Energy Materials
42,43,Bank of Africa (formerly BMCE),MOROCCO,"4,238","3,563","2,270",223,Finance
43,44,Woolworths Holdings,SOUTH AFRICA,"4,160","3,516","5,245",270,Consumer Non-Cyclicals
44,41,Multichoice,SOUTH AFRICA,"3,989","3,864","3,260",132,Telecommunications
45,46,Mr Price Group,SOUTH AFRICA,"3,912","3,457","1,347",162,Consumer Non-Cyclicals
46,new,Afreximbank (DRs),MAURITIUS,"3,793","4,364","1,072",352,Finance
47,131,Econet Wireless,ZIMBABWE,"3,479",968,561,17,Telecommunications
